1,10,1.0
1,11,1.0
1,14,1.0
1,41,1.0
2,7,1.0
2,23,1.0
2,26,1.0
3,4,1.0
4,32,1.0
5,17,1.0
5,32,1.0
6,24,1.0
6,27,1.0
6,28,1.0
7,16,1.0
7,26,1.0
7,42,1.0
7,44,1.0
8,25,1.0
9,3,1.0
10,1,1.0
10,11,1.0
10,12,1.0
10,14,1.0
10,33,1.0
11,1,1.0
11,10,1.0
11,14,1.0
11,15,1.0
11,33,1.0
12,15,1.0
12,33,1.0
14,1,1.0
14,10,1.0
14,11,1.0
14,33,1.0
15,12,1.0
15,29,1.0
15,33,1.0
15,36,1.0
16,26,1.0
16,42,1.0
16,44,1.0
17,5,1.0
17,22,1.0
17,27,1.0
19,30,1.0
19,36,1.0
21,31,1.0
21,37,1.0
21,40,1.0
21,45,1.0
23,2,1.0
24,6,1.0
24,27,1.0
24,28,1.0
25,8,1.0
25,50,1.0
26,7,1.0
26,16,1.0
27,24,1.0
27,28,1.0
28,27,1.0
29,15,1.0
29,19,1.0
29,30,1.0
29,33,1.0
30,19,1.0
30,29,1.0
30,33,1.0
30,36,1.0
31,21,1.0
31,37,1.0
32,4,1.0
32,5,1.0
33,10,1.0
33,11,1.0
33,15,1.0
33,29,1.0
33,30,1.0
34,3,1.0
34,4,1.0
35,50,1.0
36,15,1.0
36,19,1.0
36,30,1.0
36,38,1.0
36,41,1.0
37,21,1.0
37,31,1.0
37,35,1.0
37,47,1.0
38,36,1.0
38,41,1.0
39,43,1.0
40,45,1.0
40,46,1.0
40,47,1.0
40,48,1.0
41,38,1.0
42,7,1.0
42,44,1.0
43,39,1.0
44,7,1.0
44,16,1.0
44,26,1.0
44,42,1.0
45,39,1.0
45,40,1.0
45,46,1.0
45,47,1.0
46,40,1.0
46,47,1.0
46,48,1.0
46,49,1.0
47,40,1.0
47,46,1.0
48,46,1.0
48,49,1.0
49,40,1.0
49,46,1.0
49,48,1.0
